Question,Answer
Why are the Delivery Executive details invalid?,"-For Ekart orders, once the order is out for delivery (OFD), you can find the delivery executive details on the 'Order Tracking' page.
- For other delivery partners, a message with the delivery executive's details will be sent to you.
If the delivery executive isn’t answering your call, they may be driving and will contact you if necessary."
Is Open Box delivery available for all the products?,"No, the Open Box Delivery option is available on select products and locations only."
How will I get to know if the chosen item is eligible for Open Box delivery?,You will get to know if a product has an Open Box delivery option on the 'Checkout' page at the time of placing your order.
When will I receive the OTP?,You will receive the OTP via an SMS when the product is out for delivery. You will also be able to see this in the 'Orders' section of the app.
When do I need to share the OTP with the delivery executive?,You should share the OTP with the delivery executive only after verifying the product thoroughly. This will confirm that you have inspected the item before it is marked as delivered.
Is Open Box delivery available for orders placed via Cash on Delivery option?,"Yes, the Open Box delivery option is not dependent on the payment mode chosen while placing an order."
What if the product turns out to be defective after the product is delivered?,"In the unlikely event of an item being defective, you can easily request a return as per the returns policy of the product through the ‘Orders’ section of your Flipkart account."
What if I don’t want the open box delivery option?,"Currently, eligible products can only be delivered through the Open-Box delivery option which ensures that you have a seamless shopping experience."
Can a friend or family member accept the package on my behalf if it is an Open-Box delivery?,"Yes, however, please ensure that they thoroughly check the product and the availability of any accessories before accepting it."
What if I realise that an accessory is missing from the product box/product is damaged or not as described on Flipkart after accepting the delivery?,"Once an Open Box delivery has been accepted, a return request as per the seller's returns policy cannot be fulfilled by the seller. Hence, please make sure that you thoroughly check the product and ensure that all items listed as part of the product box are available before accepting the delivery."
Why am I not getting an Open-Box delivery option while some of my friends/family members are getting it?,"Currently, the Open-Box delivery service is provided by select sellers on select products which could be the reason you are not getting this option for a particular product."
What is Open Box delivery?,Open box delivery is a benificial program for the customers to validate the physical condition of the product and accept the delivery only when its in a proper condition
"What if the product is different, damaged or missing during the Open Box delivery check?",Request you to not to accept the produt delivery in such case and request WM to cancel back
Can I reactivate my inactive Flipkart account?,"Yes. To reactivate your Flipkart account, simply log in with your registered email ID or mobile number/password combination used before deactivation. Your account data will be fully restored, default subscription settings applied."
Do I need to verify my mobile number or email address every time I log in?,"As the verification step is a one time process, you won't have to do it again once your account is verified."
What is an OTP or verification code?,"An OTP (One Time Password) or verification code is a password/code used to verify your mobile number or email ID when you log into your Flipkart account for the first time.
OTP verification will be also be done in other cases like creating an account, password recovery, and updating email/mobile details."
Why do I need to verify my mobile number or email address to log into my Flipkart account?,"To make sure that your account details are always secure, verification by OTP (One Time Password) is important. This is a one-time process and you can log into your Flipkart account without any hassles once this is done."
Can I use an international number to sign up?,"Yes, you can use an international number to sign up. This number can only be used for logging in and subscribing to order-related updates and confirmation details."
How can I use my mobile number to login on the Flipkart mobile app?,"To log into the Flipkart mobile app, update your mobile number from your Flipkart account on our website with these simples steps:
1. Go to My Account › Settings › Update Email/Mobile
2. Add your mobile number 
3. Enter the OTP received on your registered mobile number 
4. Select 'Save Changes'
 "
"I'm getting an error message that says, 'You've exceeded the maximum number of attempts to enter correct verification code'. How can I log in to my Flipkart account now?","If a wrong code is entered for verification more than a specific number of times, this error message will be seen and for security reasons, your account will be blocked for the next 24 hours. To log in, please try again after 24 hours by entering the correct OTP."
Can I use a corporate email ID to sign up?,"Yes, you can use a corporate email ID. However, please ensure that you have updated your current active email address. This will help you to continue using your account in the unlikely event of your account getting deleted or deactivated."
How can I add a new delivery address to my Flipkart account?,"To add a new delivery address, follow these simple steps:

1. Log into your Flipkart account
2. Go to My Account › My Addresses
3. Add details of your new address
4. Choose 'Save Changes"
What should I do if I don't get the OTP or verification code while logging in to my Flipkart account?,"Network issues sometimes delay OTP-based SMS. You can regenerate the code by clicking 'Resend Code'. In case that doesn't work, you can try switching your phone off and back on."
How can I change the email ID linked with my Flipkart account?,"To change the email ID, log in to your Flipkart account and follow these simple steps:
Steps on the app:
1. Go to 'Accounts'
2. Scroll down to 'Edit Profile'
3. Add the new email ID
4. Enter the OTPs received on your old & new email ID
5. Tap 'Save'
Steps on the website:
1) Visit 'My profile'
2) In the 'Personal information' section, click the 'edit' button next to the email id option
3) Add the new email ID
4) Enter the OTPs received on your old & new email ID
6) Click 'Save'
Please note that you will not be able to update your email ID without access to your old email ID."
How can I deactivate my Flipkart account?,"To deactivate your Flipkart account, follow these simple steps after logging in to your account:
Steps on the app:
1. Visit 'Edit Profile' section on the 'Account' page
2. Click on 'Deactivate Account'
3. Enter the OTP received and click on 'Confirm Deactivation'
Steps on the web:
1) Hover over your name and click on 'My profile'
2) Scroll to the bottom of the page and click 'Deactivate Account'
Please note that you'll be logged out of your account and will no longer receive any communication from Flipkart.
While your Wishlist and profile will become unavailable, your product reviews and ratings will still be visible.
 "
What to do if I am unable to login via website?,"Please check if your internet connection is stable and the OTP is correct. If the issue persists, please try accessing our services through the Flipkart app."
How to add GSTIN number to my Flipkart account?,"You can add a GSTIN number to an order but not to an account. If an order is eligible for GSTIN invoice, you can add it while placing an order."
What are the modes of refund available after cancellation?,"The different modes of refund available are:

Payment mode: Cash on Delivery
1. UPI (Amount less than Rs 1000) - Refund will be processed to the UPI account for which UPI ID has to be shared
2. Gift Card (Amount less than Rs 10000) - Refund will be processed to Gift Card account
3. Bank account (IMPS/NEFT) - Refund will be processed to bank account for which bank details have to be shared
Payment mode: Prepaid
1. Back to source - Refund will be processed to the payment mode(Debit/Credit card, NEFT, UPI) used to pay for the order
2. Gift Card (Amount less than Rs 10000) - Refund will be processed to Gift Card account."
Why does it take time for the refund amount to be credited when it was already processed by Flipkart?,"Once the refund has been processed, the bank takes some time to reverse your initial transaction and complete the refund. However, the refund amount can be seen in your account within the time frame provided to you. Please contact your bank with the refund reference/UTR number in case you don't see the refund amount in your account after the specified timeframe."
Will I get a complete refund if the item is cancelled or returned if I have paid for the order using the 'Credit Card No Cost EMI' payment option?,"Yes, you will get a complete refund to the extent of the EMIs paid (if any) in case the order is cancelled or returned.
However, banks may charge some cancellation/refund or pre-closure charges. Please check with your respective bank for their policy for cancellations, refunds, and pre-closures.
*Orders for certain items cannot be cancelled after 24 hours of order placement, or returned once delivered. Please check the seller's cancellations & returns policy on the product page for details."
Can I get the refund for the item to any other mode if I have paid using the Bajaj Finserv payment option?,"No, the refund for an order placed using the Bajaj Finserv payment mode can only be done to the bank account linked to the Bajaj Finserv EMI Network Card."
Can I get the refund for the item through any other mode if I have paid for my order using the 'Pre-approved EMI' payment option?,"No, the refund mode cannot be changed for an order that was paid for using SBI's 'Pre-approved EMI' payment option."
Can I get the refund for the item through any other mode if I have paid using the 'Credit Card No Cost EMI' payment option?,"No, the refund for an order placed using the 'Credit Card No Cost EMI' payment mode can only be done to the credit card from which the payment was made."
Where will the refunds for my order be credited?,"For payments made through cash/POS, you can choose any of the below refund modes in case you return the item:
1. PhonePe wallet
2. NEFT or bank transfer (update your bank account details when you choose this option). For payments made from any other source, the mode of refund will be the same as the payment source."
Why have I only received a part of the refund amount?,Refunds are processed item wise and you may see a part of the amount refunded while the remaining refund amount is still being processed.
When will the refund amount for my order(s) be processed?,"The refunds for your order(s) are processed at different stages based on the reason for refunding the amount:
1. Cancellation (before shipment): Immediate
2. Cancellation (after shipment): Once the courier service provider confirms that the shipment is being returned to the seller
3. Returns (if a pick-up is scheduled by the seller): Once product is picked up by the courier service provider and it reaches the seller
4. Returns (if you're asked to ship the item(s) back): Once the item reaches the seller"
How can I know the status of my refund?,"You can visit 'My Orders' to know the status of your refund.
For orders cancelled before shipping, refunds are processed immediately. If the order has been shipped. refund will be processed as soon as the courier service provider confirms the return of the item(s)."
What are the refund timelines if I cancel or return a product?,"The refund timelines will depend on the payment modes as listed below:
Debit card - 7-9 Business days
Credit - 7-9 Business days
Netbanking - 3-7 business days
COD - IMPS, 1 Business days
EMI (Standard+No cost+Debit card) - 7- 9 Business days
Flipkart Pay Later - 24 to 48 hours
Gift Card - 24 hours
PhonePe:
PhonePe wallet - 24 hours
PhonePe UPI - 1 business day
PhonePe Credit/Debit card - 7 business days
Note: Refunds will be credited to the payment source used at the time of placing an order.
The mode of refund in case of payment through 'Cash on Delivery' will be IMPS"
When are refunds provided for orders?,"You can get a refund for an order if you cancel a prepaid order as per the cancellation policy. Additionally, refunds are issued if you return an item that qualifies for a refund or if a replacement cannot be provided because it is out of stock.
Refunds are credited to the original source of payment except for cash on delivery orders. (CoD}. For CoD orders, you can choose the refund source.
You can track your refund status by visiting the Flipkart account's 'Orders' section and selecting the product. You will also get timely updates about refunds via email and SMS."
I've still not received the refund in my bank account.,"If you've received an SMS confirming the refund, it has been initiated.

To check the amount, log in to your bank’s website or app and review your statement from the initiation date. Alternatively, contact your bank with the refund reference (ARN/UTR) for an update."
What should I do if refund gets failed?,"If your refund has failed, please visit the 'Orders' page and tap the 'Update Bank Details' option to provide the correct account information. Make sure the account details are valid and active. Once updated, your refund will be processed immediately."
How can I identify the UPI details?,"Not to worry. If your order is prepaid, you can check the payment transaction source. If you have selected cash on delivery you can refer to the VPA ID they shared. The UPI app linked to that VPA ID will be the relevant one."
What does ARN number mean?,ARN/UTR/BRN number is the refund reference number provided by the respective bank as confirmation for receiving the refund amount.
How can I add bank account details?,"Not to worry. To add a bank account, just follow these easy steps:
For prepaid orders:

-Enter your IFSC code manually or use the 'Look Up for IFSC Fetcher' to auto-fill by selecting your bank, branch, and city.

-Enter your active account number twice, the account holder's name, and contact number, then save.
For Cash on Delivery order refunds or failed refunds:
-Go to Orders > Select your order > Update Bank Details > Add your account info."
How do I link my bank account in Flipkart?,"Not to worry. To add a bank account, you just need to follow these simple steps:

1. Enter the IFSC code manually or use ""Look Up for IFSC Fetcher"" to select the bank, branch, and city to auto-fill it.
2. Provide your active account number (enter it twice), account holder's name, and contact number, then save.
For Cash on Delivery returns, select 'Bank Transfer' to add these details.

Please note that if you choose 'Netbanking' while placing an order, your shared details will be saved automatically."
How can I change/update my bank account details?,"The system will show you your previously saved bank details during refund processing. If you don’t want to use your previously saved bank account, you can always add a new one. However, the option of editing previously saved bank account details or deleting them is not available at the moment."
How do I upload a new bank statement for a resolved query?,"To upload a bank statement for a resolved query, follow these simple steps-
-Go to your Flipkart Account
-Open 'Help Centre'
-Select a particular order
-Click on 'Recent issues with this order' to upload your statement.
Please ensure that the PDF file size is under 2MB."
How will I get my refund for returning an item I paid for with Cash on Delivery?,"In case of cash on delivery, you will have to provide a bank account number for the refund. Alternatively, you can also get the refund in the form of a Gift Card (upto Rs 10,000), or in your bank account by providing the UPI ID (limited to Rs 50,000)"
What is Flipkart EMI?,"Flipkart EMI is a payment mode available on the Flipkart App that allows you to shop now and repay for your purchases through hassle-free easy monthly installments with fixed tenure of either 3 months, 6 months, 9 months and 12 months."
What are the factors that affect my Cibil score?,"Your Cibil score can be affected due to any of the below reasons:

1) Payment History
A regular payment history indicates that you are a responsible borrower. Hence, ensure that you do not default on any payments.
2) Credit Utilization Ratio
The credit utilization ratio is the amount of credit you use from the total credit limit you have. Experts advise that you keep your credit utilization at 30% to ensure a good credit score.
3) Credit Mix
Having multiple credit accounts, such as a home loan, personal loan, and credit card show lenders that you can manage multiple types of debt at the same time. The more credit types you have, the better (as long as you pay on time).
4) Multiple enquiries on your credit
If your credit report shows a lot of hard enquiries in the recent past, it will have a negative effect on your credit score. Multiple hard enquiries mean that you are desperate for credit, which makes you a bad risk.
5) Length of your credit history
When you have a long credit history, the creditors are assured that you are good at managing your debt and that has a positive impact on your credit score. Closing down old credit accounts will decrease your credit score."
How will I know the due date of Flipkart EMI bill?,You can see this information in the 'Account' section. The due date is the 5th of the month.
What are the benefits of Flipkart EMI?,"Flipkart EMI offers the below benefits:

- Quick and easy checkout
- Pay in easy installments to stretch your budget
- Transparent billing with no hidden charges
- Flexible repayment plans with attractive tenure options
- Instant refunds on cancellations or returns
- No Cost EMI offers (subject to availability from sellers and brands)"
Who can use Flipkart EMI?,"This EMI facility is currently available to only a selected set of customers. However, we are continuously looking to expand this offering to newer customers. Keep visiting & shopping on Flipkart to know more."
What is my pre-qualified loan offer on Flipkart EMI?,"Visit 'Account' > 'Flipkart EMI' > 'Loan Offer' to check your outstanding loan amount, pre-qualified offers, bills due, and current month's usage."
Why can't I see Flipkart EMI available for some items?,"Flipkart EMI is currently available for select products, where transaction amount is greater than Rs 3000.
Flipkart EMI facility is enabled based on dynamic transaction rules determined in partnership with our lending partner. Flipkart EMI facility is available on select categories only. This facility is not available on Gift Cards, Gold & Jewelry, Grocery and select Quick purchases.
 "
Why do I need to complete KYC for availing Flipkart EMI services?,"Flipkart EMI is a financial Loan-credit product offered to you in collaboration with our financial partners. Like with any other financial product, you are required to complete your KYC in order to avail it. You can complete the minimum KYC requirements via an Aadhaar-based OTP verification undertaken by the Financing partner."
What is a minimum KYC? How is it different from a full KYC?,"Aadhaar OTP-based e-KYC is considered a minimum KYC by RBI. It is valid only for 12 months from the date of activating your Pay Later account. Additionally, your shopping usage will be restricted to Rs 60,000, after which you will not be able to use Pay Later services without upgrading to full KYC."
How will I get to know when my minimum KYC is getting expired?,"Please visit the Flipkart EMI section under 'Accounts' on your Flipkart app. Click on the 'KYC status' section to know your KYC expiry date.
   "
How can I upgrade to full KYC?,"If you are a minimum KYC user, you can always upgrade to full KYC by following these simple steps:
- Tap 'Flipkart Pay Later' under ‘Credit Options’
- Tap ‘View Details’ option across 'Paylater Credit'
- Tap ‘Apply Now’
- Enter Your PAN and Aadhaar Number
- Verify the Aadhaar Number using OTP sent to mobile
- Tap ‘Submit’"
What is the process for completing full KYC?,"To complete your full KYC, we will search your KYC details on the Central KYC Registry. In case your central KYC record does not exist, you would need to undergo a video - KYC. Once successful, you will be required to provide your bank account details (Account no. & IFSC code). We will then proceed to deposit Rs 1/- into your account to verify your account name against your PAN/Aadhaar.In order to upgrade your KYC smoothly, please ensure that the account number shared by you is active and is registered in your name."
What is the Central KYC Registry?,The Central KYC (C-KYC) Registry is an initiative by the government of India to centralize the KYC documents of the customers for availing various financial services. The purpose of C-KYC is to remove the need for submitting fresh documents for KYC verification every time a new financial relationship needs to be started.
What is Aadhaar Paperless Offline e-KYC?,"Aadhaar Paperless Offline e-KYC is another mode for upgrading to full KYC. Only users who do not have a C-KYC record will need to go through this. As part of the process, you will be redirected to the UIDAI website to generate your Aadhaar Paperless Offline e-KYC which will be shared with our lending partner in a secured manner."
Is my KYC/account information shared with partners?,"    KYC is conducted by our financial partner, hence your KYC details and bank account details captured in the onboarding journey are shared with the lending partners as per extant guidelines.
For more information regarding Flipkart’s data privacy policy, please visit the following link - https://www.flipkart.com/pages/fapl-privacy-policy"
How can I place an order using Flipkart EMI on Flipkart?,"Here's how you can place an order:
- Add item(s) to your cart as usual
- Proceed to checkout
- Select Flipkart EMI as your payment mode, and select an EMI plan as per your preference.
Please note, you may need an OTP to complete your transaction. This is an additional verification required as an enhanced security measure for certain transactions only."
How can I place an order using Flipkart EMI on platforms other than Flipkart?,"Currently, Flipkart EMI is not available on platforms other than Flipkart."
Do I need to make a down payment to buy an item using Flipkart EMI facility?,"No, you can place orders without making any down payment.
 "
What rate of interest will be incurred while availing Flipkart EMI?,The interest rate and the actual interest amount to be paid will be visible on the payments page when you are selecting your EMI plan to place an order.
How can I track my Flipkart EMI usage and transactions?,"Here's how you can track your Flipkart EMI usage and transactions:
- Log in to your Flipkart account
- Go to 'Account'
- Visit the 'Flipkart EMI' section
- Tap 'view usage'"
Do I get an OTP while paying through Flipkart EMI?,"Yes, you may receive an OTP on your registered mobile number which you would need to enter to authorise the transaction."
Can I cancel/return my order after I've placed it using Flipkart EMI?,"Yes, you can cancel/return a product by visiting the 'Orders' section and choosing the item you wish to cancel/return as per the cancellation/return policies of the product mentioned on the product page."
I have received an SMS / Email notification for a Flipkart EMI order that I haven't placed. What should I do?,"Please cancel your order immediately by visiting 'Orders' and choosing the item you wish to cancel. Please change your password, and contact our customer support for securing your account. Please raise a support ticket through Flipkart ‘Help Centre’ immediately at https://www.flipkart.com/helpcentre.
 "
How will Flipkart EMI bill be generated?,"You will get a single, unified bill that will contain your Flipkart EMI dues. The total amount due will be calculated on the 1st of the subsequent month and will be payable by the 5th of the same month."
How will I know that my Flipkart EMI bill has been generated?,You will receive Email / SMS / app notifications about the amount due and a payment link on the 1st of the calendar month.
What will happen to my Flipkart EMI dues once EMI transactions are discontinued?,"Your past EMIs will continue to get added in the subsequent bills as per their schedule. To continue using Flipkart EMI services, please repay all your remaining EMI dues."
How do I pay Flipkart EMI bill?,"You can pay your bill by clicking on the payment link received along with the Email/SMS notification sent to you by Flipkart.
You can also view your bill and make the payment from the ‘Flipkart EMI’ section under 'Account' on the Flipkart website, mobile site, Android, or iOS app."
What payment modes are supported to pay the Flipkart EMI bill?,We currently support bill payment for Flipkart EMI through UPI/Debit Card.
Can I pay the bill using Cash / EMIs / credit card?,"No, we do not support payment of bills using cash / EMIs / credit cards."
Can I change the delivery time for my order?,Delivery time for an order cannot be changed as of now.
Can I pay only a part of the bill?,"Yes! August 2023 onwards, customers who are delinquent on Flipkart will be allowed to clear off their dues by paying the overdue amount partially."
How much amount can I pay if I am making a partial payment?,You can pay any amount starting from the minimum due amount to the total overdue amount. The minimum overdue amount is calculated depending on your overdue amount and delinquency status.
Will my bureau be affected if I make partial payments?,Partial payments let you gradually clear your dues. Paying off the full amount of your oldest pending dues helps reduce your delinquency status.
Can I pay for my unbilled transactions of Flipkart EMI?,"Yes, you can pay for the unbilled transactions at any time during the month."
Can I change the bill date or due date?,"No, we don't support changes to the bill date or due date at this time. The bills will continue to be generated on the 1st of the month, with the 5th as the due date."
I missed the Email/SMS notification sent to me at the time of bill generation. Will I be reminded again?,"Don’t worry. In case you missed the first communication, we will send you multiple reminders before the due date so that you have sufficient time to clear your dues. Alternatively, You can always visit the ‘Accounts’ section on your Flipkart app and click ‘Pay Now’ in the Flipkart EMI section in order to clear your dues."
What happens if I don't pay my bill by the due date?,"Your Cibil score will be impacted if you do not pay your bills on time. Apart from that, a penalty of 3% of the outstanding due is levied on a monthly basis. The penalty will be calculated on the outstanding due as on the 5th of the month.
Charges are inclusive of applicable taxes
Please note that this might change in the future which will be duly communicated to you."
What happens if I don't pay my bill even after multiple reminders for my Flipkart EMI account?,"Outstanding dues beyond the 5th of the month will incur late payment charges. Continued delays may result in deactivation of your Flipkart EMI account, suspension of purchases, and legal action by our Financing Partner. Non-payment will also be reported to credit bureaus, impacting your future borrowing ability. Please ensure timely payments to avoid these consequences.
 "
What is EMI foreclosure?,"Foreclosure option enables you to close the loan early by paying the complete foreclosure amount. Once the complete payment of foreclosure amount is done, the loan is closed."
Can I foreclose my EMI loan?,"Yes, you can foreclose your Flipkart EMI loan by clicking https://partner.idfcfirstbank.com/quickpayfc/Login.aspx . Payment updates take up to 3 working days, the loan closes within 15 working days, and credit records update within 10 working days after closure."
Is there any charge for Flipkart EMI foreclosure?,"A foreclosure charge of 3.39% of the unbilled principal outstanding amount will apply, exclusive of GST. These charges may change based on lender pricing policy and T&Cs, and any updates will be communicated to you."
How can I foreclose my EMI loans?,"You can foreclose your Flipkart EMI loans by clicking https://partner.idfcfirstbank.com/quickpayfc/Login.aspx . Payment updates take up to 3 working days, the loan closes within 15 working days, and credit records update within 10 working days after closure."
What happens if I cancel the order after foreclosing Flipkart EMI loan?,You can reach out to the customer support of the lender for the refund of the amount in such scenarios.
How long will it take to Foreclose my loan?,"It may take up to 15 working days to process the request. However, in some cases it may take longer.
 "
How is the foreclosure amount calculated?,"The lender calculates foreclosure amount based on your principal outstanding, proportionate interest rate, and any fees/charges etc. as applicable. This will be inclusive of GST."
How can I request my Flipkart EMI account closure?,"You can do so by clicking here. To close your Flipkart EMI account, ensure there are no outstanding dues. Payment updates take up to 3 working days, the loan closes within 15 working days post-payment, and credit bureau records update within 10 working days after closure."
"My payment using the Flipkart EMI did not go through, but the amount has been deducted from my pre-qualified loan offer. What should I do?",The amount will be automatically adjusted back to your pre-qualified loan offer on the same working day. Please contact us if it is not credited even after 24 hours.
